2019/01/31 19:38:00 File name nextFiles: .python_history-13237.tmp, Is a dir: %!s(bool=false)
2019/01/31 19:38:00 File name nextFiles: .python_history-14417.tmp, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .python_history-16624.tmp, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .ssh, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .steam, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .steampath, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .steampid, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .surf, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .technic, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .tig_history, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .tor-browser, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .tvbrowser, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .vim, Is a dir: %!s(bool=true)
2019/01/31 19:38:01 File name nextFiles: .viminfo, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .viminfo.tmp, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .viminfx.tmp, Is a dir: %!s(bool=false)
2019/01/31 19:38:01 File name nextFiles: .viminfy.tmp, Is a dir: %!s(bool=false)
